STUDY_ID	SAMPLE_ID	EGFR	KRAS	ALK	ERBB2	CD274
luad_tcga_pan_can_atlas_2018	TCGA-44-A4SU-01	2664.62	639.981	6.5735	8821.22	43.1976
luad_tcga_pan_can_atlas_2018	TCGA-49-4486-01	236.065	1008.44	3.6574	10778.7	8.6447
luad_tcga_pan_can_atlas_2018	TCGA-49-4487-01	627.633	1380.79	5.8972	9740.52	58.1297
luad_tcga_pan_can_atlas_2018	TCGA-49-4488-01	1356.07	2214.64	0	5171.9	101.266
luad_tcga_pan_can_atlas_2018	TCGA-49-4490-01	957.587	918.281	3.7443	8618.37	10.2967
luad_tcga_pan_can_atlas_2018	TCGA-49-4494-01	576.986	1002.34	0.8518	7681.12	67.864
luad_tcga_pan_can_atlas_2018	TCGA-49-4501-01	2078.71	1206.61	5.284	8266.31	64.465
luad_tcga_pan_can_atlas_2018	TCGA-49-4505-01	1427.43	1580.13	5.3326	6036.21	92.8992
luad_tcga_pan_can_atlas_2018	TCGA-49-4506-01	282.519	1203.46	2.3878	2353.6	37.8072
luad_tcga_pan_can_atlas_2018	TCGA-49-4507-01	259.772	659.979	0.3459	4575.23	22.1377
luad_tcga_pan_can_atlas_2018	TCGA-49-4510-01	412.832	1361.11	0.3193	7174.97	30.0128
luad_tcga_pan_can_atlas_2018	TCGA-49-4512-01	1741.69	1493.47	11.5296	7350.5	17.6787
luad_tcga_pan_can_atlas_2018	TCGA-49-4514-01	312.163	1817.89	0.7651	3532.5	9.1813
luad_tcga_pan_can_atlas_2018	TCGA-49-6742-01	451.902	1756.9	0.7457	6706.19	21.6257
luad_tcga_pan_can_atlas_2018	TCGA-49-6743-01	1113.4	1142.16	4.8833	6990.78	143.787
luad_tcga_pan_can_atlas_2018	TCGA-49-6744-01	1047.85	1423.12	4.5825	5615.07	68.7373
luad_tcga_pan_can_atlas_2018	TCGA-49-6745-01	1877.64	6439.31	5.8968	9717.94	847.174
luad_tcga_pan_can_atlas_2018	TCGA-49-6761-01	7247.6	1344.09	156.92	4636.48	334.372
luad_tcga_pan_can_atlas_2018	TCGA-49-6767-01	1187.57	1455.03	1.1834	4807.69	208.284
luad_tcga_pan_can_atlas_2018	TCGA-49-AAQV-01	1317.66	732.487	13.7772	6594.02	83.3192
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR0-01	264.18	524.541	17.3525	5117.5	28.2598
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR2-01	30.3162	602.611	1.2374	5802.76	15.4674
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR3-01	511.315	823.171	5.2265	2379.79	406.794
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR4-01	394.697	1025.85	5.0441	9784.36	116.015
luad_tcga_pan_can_atlas_2018	TCGA-49-AAR9-01	230.376	19435.5	2.7536	8340.98	15.6035
luad_tcga_pan_can_atlas_2018	TCGA-49-AARE-01	50.9786	702.777	11.3792	6527.54	16.8411
luad_tcga_pan_can_atlas_2018	TCGA-49-AARN-01	691.657	695.522	0.7463	9482.09	64.9254
luad_tcga_pan_can_atlas_2018	TCGA-49-AARO-01	1334.07	983.569	2.8827	6475.64	102.047
luad_tcga_pan_can_atlas_2018	TCGA-49-AARQ-01	716.247	716.854	58.427	3601.69	28.0899
luad_tcga_pan_can_atlas_2018	TCGA-49-AARR-01	834.729	881.235	3.5719	5229.75	94.3998
luad_tcga_pan_can_atlas_2018	TCGA-4B-A93V-01	319.422	1017.05	0.4811	5178.57	661.513
luad_tcga_pan_can_atlas_2018	TCGA-50-5044-01	186.285	775.844	3.0706	1181.17	230.297
luad_tcga_pan_can_atlas_2018	TCGA-50-5045-01	323.604	1270.73	24.5347	2638.32	119.712
luad_tcga_pan_can_atlas_2018	TCGA-50-5049-01	352.12	965.402	15.625	6550.78	136.161
luad_tcga_pan_can_atlas_2018	TCGA-50-5051-01	125.484	1193.65	3.873	5698.68	20.1394
luad_tcga_pan_can_atlas_2018	TCGA-50-5055-01	184.385	1046.51	4.9834	2875.42	31.5615
luad_tcga_pan_can_atlas_2018	TCGA-50-5066-01	117.596	1442.51	2.6132	1166.38	87.108
luad_tcga_pan_can_atlas_2018	TCGA-50-5068-01	128.236	973.076	6.8406	1964.96	55.5799
luad_tcga_pan_can_atlas_2018	TCGA-50-5072-01	931.626	2594	5.5427	4561.66	45.2656
luad_tcga_pan_can_atlas_2018	TCGA-50-5930-01	455.469	1237.74	11.9525	8860.76	35.8574
luad_tcga_pan_can_atlas_2018	TCGA-50-5931-01	660.966	1554.29	0.6313	1294.82	6.9444
luad_tcga_pan_can_atlas_2018	TCGA-50-5932-01	2106.8	2446.8	1.2469	9170.41	22.4439
luad_tcga_pan_can_atlas_2018	TCGA-50-5933-01	5771.07	1709.38	1.0205	2690.1	522.509
luad_tcga_pan_can_atlas_2018	TCGA-50-5935-01	1498.62	2864.24	2.5466	9820.15	47.1113
luad_tcga_pan_can_atlas_2018	TCGA-50-5936-01	1342.11	1830.41	3.655	5437.13	32.8947
luad_tcga_pan_can_atlas_2018	TCGA-50-5939-01	21145.1	900.291	3.4206	4498.72	127.245
luad_tcga_pan_can_atlas_2018	TCGA-50-5941-01	1576.92	3282.69	7.6923	4417.31	200.641
luad_tcga_pan_can_atlas_2018	TCGA-50-5942-01	3963.68	671.915	1.2786	5430.94	31.9655
luad_tcga_pan_can_atlas_2018	TCGA-50-5944-01	3727.99	1313.61	1.2197	7345.02	33.5417
luad_tcga_pan_can_atlas_2018	TCGA-50-5946-01	3144.37	841.106	1.9299	18117.1	28.6266
luad_tcga_pan_can_atlas_2018	TCGA-50-6590-01	3715.74	1295.65	3.2609	2195.11	476.087
luad_tcga_pan_can_atlas_2018	TCGA-50-6591-01	24089.1	1225.81	5.3763	2977.9	5.3763
luad_tcga_pan_can_atlas_2018	TCGA-50-6592-01	676.881	2374.05	0.4281	4788.35	83.4879
luad_tcga_pan_can_atlas_2018	TCGA-50-6593-01	1477.85	1032.07	9.6216	6921.1	121.873
luad_tcga_pan_can_atlas_2018	TCGA-50-6594-01	691.514	1002.82	1.4085	8032.39	1650.7
luad_tcga_pan_can_atlas_2018	TCGA-50-6595-01	5908.64	991.64	7.074	2682.32	508.039
luad_tcga_pan_can_atlas_2018	TCGA-50-6597-01	992.46	670.122	0.9425	6793.59	8.4826
luad_tcga_pan_can_atlas_2018	TCGA-50-6673-01	8605.69	2026.36	2.2434	6289.4	26.9209
luad_tcga_pan_can_atlas_2018	TCGA-50-7109-01	345.98	1774.44	2.4408	6304.53	24.4078
luad_tcga_pan_can_atlas_2018	TCGA-50-8457-01	2213.48	1177.1	1.3316	7543.28	51.4869
luad_tcga_pan_can_atlas_2018	TCGA-50-8459-01	617.121	1387	6.714	3912.01	38.0459
luad_tcga_pan_can_atlas_2018	TCGA-50-8460-01	965.291	709.418	381.041	5934.32	53.9033
luad_tcga_pan_can_atlas_2018	TCGA-53-7624-01	19967.6	1593.76	1.7567	3778.66	145.367
luad_tcga_pan_can_atlas_2018	TCGA-53-7626-01	2181.51	1898.44	2.5609	9718.43	89.3452
luad_tcga_pan_can_atlas_2018	TCGA-53-7813-01	383.351	2160.33	0	2868.45	26.7215
luad_tcga_pan_can_atlas_2018	TCGA-53-A4EZ-01	392.234	1775.15	0	3283.17	23.2124
luad_tcga_pan_can_atlas_2018	TCGA-55-1592-01	137.219	3826.17	27.3356	15733.6	59.2722
